day,topic_id,tweet_lang,r_lv,r_ru,r_en
2017-04-16 00:00:00,LV001,lv,1.00,0.00,0.00
2017-04-16 00:00:00,LV001,lv,0.98,0.00,0.02
2017-04-16 00:00:00,LV001,lv,0.96,0.00,0.04
2017-04-16 00:00:00,LV001,lv,0.97,0.00,0.03
2017-04-16 00:00:00,LV001,lv,0.99,0.00,0.00
2017-04-16 00:00:00,LV001,lv,1.00,0.00,0.00
2017-04-16 00:00:00,LV001,lv,1.00,0.00,0.00
2017-04-16 00:00:00,LV001,lv,0.99,0.00,0.01
2017-04-17 00:00:00,LV001,lv,0.81,0.00,0.19
2017-04-18 00:00:00,LV001,lv,1.00,0.00,0.00
2017-04-18 00:00:00,LV001,lv,1.00,0.00,0.00
2017-04-18 00:00:00,LV001,lv,1.00,0.00,0.00
2017-04-18 00:00:00,LV001,lv,1.00,0.00,0.00
2017-04-18 00:00:00,LV001,lv,1.00,0.00,0.00
2017-04-18 00:00:00,LV001,lv,1.00,0.00,0.00
2017-04-18 00:00:00,LV001,lv,1.00,0.00,0.00
2017-04-18 00:00:00,LV001,lv,1.00,0.00,0.00
2017-04-18 00:00:00,LV001,lv,1.00,0.00,0.00
2017-04-18 00:00:00,LV001,lv,1.00,0.00,0.00
2017-04-18 00:00:00,LV001,lv,0.81,0.00,0.19
2017-04-18 00:00:00,LV001,lv,0.99,0.00,0.01
2017-04-19 00:00:00,LV001,lv,1.00,0.00,0.00
2017-04-19 00:00:00,LV001,lv,0.99,0.00,0.01
2017-04-19 00:00:00,LV001,lv,0.24,0.00,0.76
2017-04-19 00:00:00,LV001,lv,0.99,0.00,0.00
2017-04-19 00:00:00,LV001,lv,0.90,0.00,0.10
2017-04-19 00:00:00,LV001,lv,0.99,0.00,0.01
2017-04-19 00:00:00,LV001,lv,0.81,0.00,0.19
2017-04-19 00:00:00,LV001,lv,0.99,0.00,0.01
2017-04-19 00:00:00,LV001,lv,1.00,0.00,0.00
2017-04-19 00:00:00,LV001,lv,1.00,0.00,0.00
2017-04-19 00:00:00,LV001,lv,0.98,0.00,0.02
2017-04-19 00:00:00,LV001,lv,0.56,0.00,0.44
2017-04-19 00:00:00,LV001,lv,0.81,0.00,0.19
2017-04-19 00:00:00,LV001,lv,1.00,0.00,0.00
2017-04-19 00:00:00,LV001,lv,1.00,0.00,0.00
2017-04-20 00:00:00,LV001,lv,0.99,0.00,0.00
2017-04-20 00:00:00,LV001,lv,1.00,0.00,0.00
2017-04-20 00:00:00,LV001,lv,1.00,0.00,0.00
2017-04-20 00:00:00,LV001,lv,0.99,0.00,0.01
2017-04-20 00:00:00,LV001,lv,1.00,0.00,0.00
2017-04-20 00:00:00,LV001,und,0.98,0.00,0.02
2017-04-20 00:00:00,LV001,lv,1.00,0.00,0.00
2017-04-20 00:00:00,LV001,lv,1.00,0.00,0.00
2017-04-20 00:00:00,LV001,lv,1.00,0.00,0.00
2017-04-20 00:00:00,LV001,lv,1.00,0.00,0.00
2017-04-20 00:00:00,LV001,lv,1.00,0.00,0.00
2017-04-21 00:00:00,LV001,lv,1.00,0.00,0.00
2017-04-21 00:00:00,LV001,lv,0.99,0.00,0.00
2017-04-21 00:00:00,LV001,lv,0.99,0.00,0.00
2017-04-21 00:00:00,LV001,lv,1.00,0.00,0.00
2017-04-21 00:00:00,LV001,lv,1.00,0.00,0.00
2017-04-21 00:00:00,LV001,lv,1.00,0.00,0.00
2017-04-21 00:00:00,LV001,lv,1.00,0.00,0.00
2017-04-21 00:00:00,LV001,lv,1.00,0.00,0.00
2017-04-21 00:00:00,LV001,lv,1.00,0.00,0.00
2017-04-21 00:00:00,LV001,lv,1.00,0.00,0.00
2017-04-22 00:00:00,LV001,lv,1.00,0.00,0.00
2017-04-22 00:00:00,LV001,lv,1.00,0.00,0.00
2017-04-22 00:00:00,LV001,lv,1.00,0.00,0.00
2017-04-22 00:00:00,LV001,lv,1.00,0.00,0.00
2017-04-22 00:00:00,LV001,lv,0.98,0.00,0.02
